DB,Site,Name,Preferred,Cal_yr_BP,Age_Old,Age_Yng,Max_Elev,Min_Elev,Midpoint,Relative,Use_Relative
5,5,Carson Sink,Y,13250,13750,13000,1180,1180,1180,,N
5,5,Carson Sink,Y,13170,13400,12940,1203,1198,1200.5,,N
5,5,Carson Sink,Y,13035,13200,12870,1203,1203,1203,,N
5,5,Carson Sink,Y,12305,12630,11980,1203,1198,1200.5,,N
5,5,Carson Sink,Y,11465,11700,11230,1228,1228,1228,,N
5,5,Carson Sink,Y,10820,11076,10564,1220,1180,1190,,N
5,5,Carson Sink,Y,7627,7777,7477,1202,1193,1197.5,,N
5,5,Carson Sink,Y,5430,5930,4930,1204,1186,1195,,N
5,5,Carson Sink,Y,2000,2500,1500,1198,1186,1192,,N
5,5,Carson Sink,Y,1414,1519,1308,1198,1198,1198,,N
5,5,Carson Sink,Y,1238,1308,1168,1204,1186,1195,,N
5,5,Carson Sink,Y,931,1168,694,1204,1204,1204,,N
5,5,Carson Sink,Y,784,915,652,1204,1204,1204,,N
5,5,Carson Sink,Y,0,0,0,1186,1186,1186,,N
6,6,Cayuga Lake,Y,12998,13129,12886,-3.9,0,-1.95,,N
6,6,Cayuga Lake,Y,11862,12105,11508,-2.55,-2.45,-2.5,,N
6,6,Cayuga Lake,Y,10967,11181,10791,-3.75,-3.65,-3.7,,N
6,6,Cayuga Lake,Y,8495,8576,8410,-1.6,-1.5,-1.55,,N
6,6,Cayuga Lake,Y,5434,5575,5324,-0.8,-0.6,-0.7,,N
6,6,Cayuga Lake,Y,4877,4960,4829,-1.32,-1.22,-1.27,,N
6,6,Cayuga Lake,Y,4470,4522,4416,-0.8,-0.7,-0.75,,N
6,6,Cayuga Lake,Y,1301,1341,1274,-0.9,-0.8,-0.85,,N
6,6,Cayuga Lake,Y,0,0,0,0,0,0,,N
7,7,Coyote Lake (Lake Manix),Y,21613,22217,21201,543,519,543,3,Y
7,7,Coyote Lake (Lake Manix),Y,21060,22891,19278,543,519,,2,Y
7,7,Coyote Lake (Lake Manix),Y,18291,18603,18041,543,519,,2,Y
7,7,Coyote Lake (Lake Manix),Y,18239,18536,18026,543,519,543,3,Y
7,7,Coyote Lake (Lake Manix),Y,16725,17663,15680,543,519,,2,Y
7,7,Coyote Lake (Lake Manix),Y,16682,16886,16522,543,519,,2,Y
7,7,Coyote Lake (Lake Manix),Y,15477,15855,15095,543,519,,2,Y
7,7,Coyote Lake (Lake Manix),Y,13652,13772,13506,543,519,,2,Y
7,7,Coyote Lake (Lake Manix),Y,13652,13772,13506,543,519,,0,Y
7,7,Coyote Lake (Lake Manix),Y,0,0,0,519,519,519,0,Y
8,8,Crawford Lake,Y,15637,16220,14388,-1.5,-5,-3.25,,N
8,8,Crawford Lake,Y,14071,15090,13461,0,-1.5,-0.75,,N
8,8,Crawford Lake,Y,8880,9531,8347,0,-0.75,-0.38,,N
8,8,Crawford Lake,Y,8880,9531,8347,-0.75,-1.6,-1.18,,N
8,8,Crawford Lake,Y,6428,6626,6312,-0.75,-1.95,-1.35,,N
8,8,Crawford Lake,Y,5367,5937,4831,-1.6,-9.5,-5.55,,N
8,8,Crawford Lake,Y,1853,1996,1640,-1.6,-9.5,-5.55,,N
8,8,Crawford Lake,Y,1853,1996,1640,-0.75,-1.6,-1.18,,N
8,8,Crawford Lake,Y,0,0,0,0,0,0,,N
9,9,Crooked Pond,Y,14350,"14,900",13800,-4.09,-6.52,-5.31,,N
9,9,Crooked Pond,Y,13040,"13,100",12970,-4.09,-4.54,-4.32,,N
9,9,Crooked Pond,Y,11140,"11,330",11010,-4.85,-5.24,-5.05,,N
9,9,Crooked Pond,Y,8990,"9,000",8770,-4.82,-5.18,-5,,N
9,9,Crooked Pond,Y,8050,"8,300",7800,-4.09,-4.18,-4.14,,N
9,9,Crooked Pond,Y,6050,6600,5500,-1.18,-4.06,-2.62,,N
9,9,Crooked Pond,Y,5250,5500,5000,-4.02,-5.02,-4.52,,N
9,9,Crooked Pond,Y,3225,3300,3150,-3.31,-4.31,-3.81,,N
9,9,Crooked Pond,Y,3075,3150,3000,-1.18,-3.31,-2.25,,N
9,9,Crooked Pond,Y,2250,2700,1800,0,-1.18,-0.59,,N
9,9,Crooked Pond,Y,0,0,0,0,0,0,,N
10,10,Davis Pond,N,14624,14845,14432,-5.28,-8.72,-7,,N
10,10,Davis Pond,N,13440,13618,13302,-2.95,-5.28,-4.11,,N
10,10,Davis Pond,N,13440,13618,13302,-5.28,-8.72,-7,,N
10,10,Davis Pond,N,10933,11100,10736,-5.24,-8.44,-6.84,,N
10,10,Davis Pond,N,10933,11100,10736,-2.95,-5.24,-4.09,,N
10,10,Davis Pond,N,10736,10933,10409,-2.95,-5.2,-4.07,,N
10,10,Davis Pond,N,10736,10933,10409,-5.2,-8.44,-6.82,,N
10,10,Davis Pond,N,10409,10519,10262,-5.13,-7.87,-6.5,,N
10,10,Davis Pond,N,10409,10519,10262,-2.95,-5.13,-4.04,,N
10,10,Davis Pond,N,6524,6860,6205,-1.35,-2.95,-2.15,,N
10,10,Davis Pond,N,5638,5656,5605,-1.35,-2.59,-1.97,,N
10,10,Davis Pond,N,5638,5656,5605,-2.59,-3.55,-3.07,,N
10,10,Davis Pond,N,4871,4979,4814,-2.35,-2.9,-2.63,,N
10,10,Davis Pond,N,4871,4979,4814,-0.75,-1.1,-0.93,,N
10,10,Davis Pond,N,3519,3563,3469,-0.75,-0.99,-0.87,,N
10,10,Davis Pond,N,3363,3383,3342,-1.35,-2.9,-2.13,,N
10,10,Davis Pond,N,2338,2351,2325,-1.25,-2.9,-2.08,,N
10,10,Davis Pond,N,2338,2351,2325,-0.75,-0.72,-0.74,,N
10,10,Davis Pond,N,1603,1620,1559,0,-0.75,-0.38,,N
10,10,Davis Pond,N,1603,1620,1559,-0.96,-1.31,-1.13,,N
10,10,Davis Pond,N,679,689,665,-0.33,-1.31,-0.82,,N
10,10,Davis Pond,N,679,689,665,0,-0.33,-0.16,,N
10,10,Davis Pond,N,-49,-49,-49,0,0,0,,N
11,10,Davis Pond,Y,12000,,,-8.98,-8.98,-8.98,,N
11,10,Davis Pond,Y,11950,,,-8.97,-8.97,-8.97,,N
11,10,Davis Pond,Y,11900,,,-8.97,-8.97,-8.97,,N
11,10,Davis Pond,Y,11850,,,-8.96,-8.96,-8.96,,N
11,10,Davis Pond,Y,11800,,,-8.96,-8.96,-8.96,,N
11,10,Davis Pond,Y,11750,,,-8.96,-8.96,-8.96,,N
11,10,Davis Pond,Y,11700,,,-8.95,-8.95,-8.95,,N
11,10,Davis Pond,Y,11650,,,-8.95,-8.95,-8.95,,N
11,10,Davis Pond,Y,11600,,,-8.95,-8.95,-8.95,,N
11,10,Davis Pond,Y,11450,,,-8.94,-8.94,-8.94,,N
11,10,Davis Pond,Y,11400,,,-8.93,-8.93,-8.93,,N
11,10,Davis Pond,Y,11350,,,-8.94,-8.94,-8.94,,N
11,10,Davis Pond,Y,11300,,,-8.79,-8.96,-8.87,,N
11,10,Davis Pond,Y,11250,,,-8.63,-8.99,-8.81,,N
11,10,Davis Pond,Y,11200,,,-8.63,-8.99,-8.81,,N
11,10,Davis Pond,Y,11150,,,-8.38,-9.01,-8.7,,N
11,10,Davis Pond,Y,11100,,,-8.37,-9.01,-8.69,,N
11,10,Davis Pond,Y,11050,,,-8.46,-9.05,-8.75,,N
11,10,Davis Pond,Y,11000,,,-8.58,-9.04,-8.81,,N
11,10,Davis Pond,Y,10950,,,-8.68,-8.98,-8.83,,N
11,10,Davis Pond,Y,10900,,,-8.49,-8.87,-8.68,,N
11,10,Davis Pond,Y,10850,,,-8.17,-8.89,-8.53,,N
11,10,Davis Pond,Y,10800,,,-7.85,-8.91,-8.38,,N
11,10,Davis Pond,Y,10750,,,-7.91,-8.95,-8.43,,N
11,10,Davis Pond,Y,10700,,,-7.88,-8.91,-8.4,,N
11,10,Davis Pond,Y,10650,,,-7.84,-8.81,-8.32,,N
11,10,Davis Pond,Y,10600,,,-7.7,-8.68,-8.19,,N
11,10,Davis Pond,Y,10550,,,-7.48,-8.63,-8.05,,N
11,10,Davis Pond,Y,10500,,,-7.46,-8.61,-8.04,,N
11,10,Davis Pond,Y,10450,,,-7.2,-8.71,-7.95,,N
11,10,Davis Pond,Y,10400,,,-7.18,-8.83,-8,,N
11,10,Davis Pond,Y,10350,,,-6.84,-8.86,-7.85,,N
11,10,Davis Pond,Y,10300,,,-6.73,-8.65,-7.69,,N
11,10,Davis Pond,Y,10250,,,-6.26,-8.55,-7.4,,N
11,10,Davis Pond,Y,10200,,,-6,-8.5,-7.25,,N
11,10,Davis Pond,Y,10150,,,-5.98,-8.48,-7.23,,N
11,10,Davis Pond,Y,9950,,,-5.86,-7.08,-6.47,,N
11,10,Davis Pond,Y,9900,,,-5.67,-6.29,-5.98,,N
11,10,Davis Pond,Y,9850,,,-5.66,-5.86,-5.76,,N
11,10,Davis Pond,Y,9800,,,-5.52,-5.88,-5.7,,N
11,10,Davis Pond,Y,9750,,,-5.31,-6.22,-5.77,,N
11,10,Davis Pond,Y,9700,,,-5.15,-6.64,-5.9,,N
11,10,Davis Pond,Y,9650,,,-5.26,-6.72,-5.99,,N
11,10,Davis Pond,Y,9600,,,-5.62,-7.06,-6.34,,N
11,10,Davis Pond,Y,9550,,,-5.62,-6.59,-6.11,,N
11,10,Davis Pond,Y,9500,,,-5.68,-6.59,-6.13,,N
11,10,Davis Pond,Y,9450,,,-5.41,-5.77,-5.59,,N
11,10,Davis Pond,Y,9400,,,-5.36,-5.88,-5.62,,N
11,10,Davis Pond,Y,9350,,,-4.74,-5.29,-5.01,,N
11,10,Davis Pond,Y,9300,,,-4.27,-5.18,-4.72,,N
11,10,Davis Pond,Y,9250,,,-4,-5.07,-4.53,,N
11,10,Davis Pond,Y,9200,,,-4.57,-5.31,-4.94,,N
11,10,Davis Pond,Y,9150,,,-4.94,-5.38,-5.16,,N
11,10,Davis Pond,Y,9100,,,-4.92,-5.34,-5.13,,N
11,10,Davis Pond,Y,9050,,,-4.59,-5.02,-4.8,,N
11,10,Davis Pond,Y,9000,,,-4.27,-4.94,-4.6,,N
11,10,Davis Pond,Y,8950,,,-4.19,-4.81,-4.5,,N
11,10,Davis Pond,Y,8900,,,-4.19,-4.62,-4.41,,N
11,10,Davis Pond,Y,8850,,,-4.13,-4.49,-4.31,,N
11,10,Davis Pond,Y,8800,,,-4.09,-4.25,-4.17,,N
11,10,Davis Pond,Y,8750,,,-3.91,-4.19,-4.05,,N
11,10,Davis Pond,Y,8700,,,-3.77,-4.2,-3.98,,N
11,10,Davis Pond,Y,8650,,,-3.71,-4.13,-3.92,,N
11,10,Davis Pond,Y,8600,,,-3.71,-4.12,-3.91,,N
11,10,Davis Pond,Y,8550,,,-3.62,-4.09,-3.86,,N
11,10,Davis Pond,Y,8500,,,-3.7,-4.11,-3.9,,N
11,10,Davis Pond,Y,8450,,,-3.72,-4.35,-4.04,,N
11,10,Davis Pond,Y,8400,,,-3.86,-4.58,-4.22,,N
11,10,Davis Pond,Y,8350,,,-3.82,-4.78,-4.3,,N
11,10,Davis Pond,Y,8300,,,-3.92,-4.78,-4.35,,N
11,10,Davis Pond,Y,8250,,,-3.91,-4.77,-4.34,,N
11,10,Davis Pond,Y,8200,,,-3.9,-4.76,-4.33,,N
11,10,Davis Pond,Y,8150,,,-3.93,-4.54,-4.23,,N
11,10,Davis Pond,Y,8100,,,-3.96,-4.31,-4.14,,N
11,10,Davis Pond,Y,8050,,,-3.97,-4.11,-4.04,,N
11,10,Davis Pond,Y,8000,,,-3.83,-4.31,-4.07,,N
11,10,Davis Pond,Y,7950,,,-3.7,-4.31,-4.01,,N
11,10,Davis Pond,Y,7900,,,-3.81,-4.29,-4.05,,N
11,10,Davis Pond,Y,7850,,,-3.78,-3.93,-3.85,,N
11,10,Davis Pond,Y,7800,,,-3.75,-3.75,-3.75,,N
11,10,Davis Pond,Y,7750,,,-3.58,-3.72,-3.65,,N
11,10,Davis Pond,Y,7700,,,-3.72,-3.85,-3.79,,N
11,10,Davis Pond,Y,7650,,,-3.68,-3.96,-3.82,,N
11,10,Davis Pond,Y,7600,,,-3.67,-3.94,-3.8,,N
11,10,Davis Pond,Y,7550,,,-3.5,-3.89,-3.69,,N
11,10,Davis Pond,Y,7500,,,-3.49,-3.88,-3.69,,N
11,10,Davis Pond,Y,7450,,,-3.5,-3.76,-3.63,,N
11,10,Davis Pond,Y,7400,,,-3.5,-3.75,-3.62,,N
11,10,Davis Pond,Y,7350,,,-3.49,-3.73,-3.61,,N
11,10,Davis Pond,Y,7300,,,-3.48,-3.72,-3.6,,N
11,10,Davis Pond,Y,7250,,,-3.48,-3.61,-3.55,,N
11,10,Davis Pond,Y,7200,,,-3.47,-3.59,-3.53,,N
11,10,Davis Pond,Y,7150,,,-3.47,-3.59,-3.53,,N
11,10,Davis Pond,Y,7100,,,-3.18,-3.53,-3.36,,N
11,10,Davis Pond,Y,7050,,,-2.91,-3.5,-3.2,,N
11,10,Davis Pond,Y,7000,,,-2.9,-3.49,-3.19,,N
11,10,Davis Pond,Y,6950,,,-3.19,-3.5,-3.34,,N
11,10,Davis Pond,Y,6900,,,-3.27,-3.51,-3.39,,N
11,10,Davis Pond,Y,6850,,,-3.03,-3.52,-3.27,,N
11,10,Davis Pond,Y,6800,,,-2.73,-3.4,-3.07,,N
11,10,Davis Pond,Y,6750,,,-2.85,-3.37,-3.11,,N
11,10,Davis Pond,Y,6700,,,-3.05,-3.35,-3.2,,N
11,10,Davis Pond,Y,6650,,,-3.39,-3.39,-3.39,,N
11,10,Davis Pond,Y,6600,,,-3.09,-3.09,-3.09,,N
11,10,Davis Pond,Y,6550,,,-2.73,-2.95,-2.84,,N
11,10,Davis Pond,Y,6500,,,-2.57,-2.98,-2.77,,N
11,10,Davis Pond,Y,6450,,,-2.9,-3.35,-3.12,,N
11,10,Davis Pond,Y,6400,,,-3.1,-3.52,-3.31,,N
11,10,Davis Pond,Y,6350,,,-2.91,-3.52,-3.21,,N
11,10,Davis Pond,Y,6300,,,-2.94,-3.49,-3.22,,N
11,10,Davis Pond,Y,6250,,,-2.73,-3.5,-3.11,,N
11,10,Davis Pond,Y,6200,,,-2.74,-3.35,-3.04,,N
11,10,Davis Pond,Y,6150,,,-2.81,-3.43,-3.12,,N
11,10,Davis Pond,Y,6100,,,-3.19,-3.44,-3.31,,N
11,10,Davis Pond,Y,6050,,,-3.35,-3.63,-3.49,,N
11,10,Davis Pond,Y,6000,,,-3.08,-3.35,-3.21,,N
11,10,Davis Pond,Y,5950,,,-2.79,-3.15,-2.97,,N
11,10,Davis Pond,Y,5900,,,-2.53,-2.9,-2.72,,N
11,10,Davis Pond,Y,5850,,,-2.33,-2.85,-2.59,,N
11,10,Davis Pond,Y,5800,,,-2.53,-2.95,-2.74,,N
11,10,Davis Pond,Y,5750,,,-2.75,-3.27,-3.01,,N
11,10,Davis Pond,Y,5700,,,-2.86,-3.42,-3.14,,N
11,10,Davis Pond,Y,5650,,,-2.84,-3.33,-3.09,,N
11,10,Davis Pond,Y,5600,,,-2.84,-3.15,-2.99,,N
11,10,Davis Pond,Y,5550,,,-2.87,-3.32,-3.1,,N
11,10,Davis Pond,Y,5500,,,-3.07,-3.46,-3.27,,N
11,10,Davis Pond,Y,5450,,,-3.17,-3.68,-3.42,,N
11,10,Davis Pond,Y,5400,,,-3.36,-3.72,-3.54,,N
11,10,Davis Pond,Y,5350,,,-3.43,-3.69,-3.56,,N
11,10,Davis Pond,Y,5300,,,-3.48,-3.66,-3.57,,N
11,10,Davis Pond,Y,5250,,,-3.35,-3.71,-3.53,,N
11,10,Davis Pond,Y,5200,,,-3.21,-3.77,-3.49,,N
11,10,Davis Pond,Y,5150,,,-3.18,-3.77,-3.47,,N
11,10,Davis Pond,Y,5100,,,-3.16,-3.74,-3.45,,N
11,10,Davis Pond,Y,5050,,,-3.23,-3.67,-3.45,,N
11,10,Davis Pond,Y,5000,,,-3.31,-3.61,-3.46,,N
11,10,Davis Pond,Y,4950,,,-3.3,-3.59,-3.44,,N
11,10,Davis Pond,Y,4900,,,-3.14,-3.54,-3.34,,N
11,10,Davis Pond,Y,4850,,,-2.93,-3.44,-3.19,,N
11,10,Davis Pond,Y,4800,,,-2.68,-3.35,-3.01,,N
11,10,Davis Pond,Y,4750,,,-2.41,-3.24,-2.82,,N
11,10,Davis Pond,Y,4700,,,-2.38,-3.08,-2.73,,N
11,10,Davis Pond,Y,4650,,,-2.46,-3.01,-2.74,,N
11,10,Davis Pond,Y,4600,,,-2.53,-2.86,-2.69,,N
11,10,Davis Pond,Y,4550,,,-2.29,-2.77,-2.53,,N
11,10,Davis Pond,Y,4500,,,-2.11,-2.42,-2.26,,N
11,10,Davis Pond,Y,4450,,,-1.99,-2.46,-2.22,,N
11,10,Davis Pond,Y,4400,,,-1.94,-2.59,-2.27,,N
11,10,Davis Pond,Y,4350,,,-2.05,-2.94,-2.5,,N
11,10,Davis Pond,Y,4300,,,-2.1,-3.04,-2.57,,N
11,10,Davis Pond,Y,4250,,,-2.13,-3.08,-2.61,,N
11,10,Davis Pond,Y,4200,,,-2.09,-3.05,-2.57,,N
11,10,Davis Pond,Y,4150,,,-2.24,-3.07,-2.65,,N
11,10,Davis Pond,Y,4100,,,-2.2,-3.03,-2.62,,N
11,10,Davis Pond,Y,4050,,,-2.31,-2.88,-2.59,,N
11,10,Davis Pond,Y,4000,,,-2.08,-2.67,-2.37,,N
11,10,Davis Pond,Y,3950,,,-2.19,-2.48,-2.33,,N
11,10,Davis Pond,Y,3900,,,-2.12,-2.31,-2.22,,N
11,10,Davis Pond,Y,3700,,,-1.85,-2.05,-1.95,,N
11,10,Davis Pond,Y,3650,,,-1.6,-1.94,-1.77,,N
11,10,Davis Pond,Y,3600,,,-1.36,-1.88,-1.62,,N
11,10,Davis Pond,Y,3550,,,-1.34,-1.87,-1.61,,N
11,10,Davis Pond,Y,3500,,,-1.35,-1.7,-1.52,,N
11,10,Davis Pond,Y,3450,,,-1.34,-1.54,-1.44,,N
11,10,Davis Pond,Y,3400,,,-1.28,-1.28,-1.28,,N
11,10,Davis Pond,Y,3350,,,-1.24,-1.44,-1.34,,N
11,10,Davis Pond,Y,3300,,,-1.46,-1.68,-1.57,,N
11,10,Davis Pond,Y,3250,,,-1.66,-1.92,-1.79,,N
11,10,Davis Pond,Y,3200,,,-1.66,-1.98,-1.82,,N
11,10,Davis Pond,Y,3150,,,-1.42,-1.82,-1.62,,N
11,10,Davis Pond,Y,3100,,,-1.18,-1.68,-1.43,,N
11,10,Davis Pond,Y,3050,,,-1.13,-1.62,-1.37,,N
11,10,Davis Pond,Y,3000,,,-1.34,-1.66,-1.5,,N
11,10,Davis Pond,Y,2950,,,-1.55,-1.74,-1.65,,N
11,10,Davis Pond,Y,2900,,,-1.74,-1.99,-1.86,,N
11,10,Davis Pond,Y,2850,,,-1.77,-2.25,-2.01,,N
11,10,Davis Pond,Y,2800,,,-1.73,-2.28,-2.01,,N
11,10,Davis Pond,Y,2750,,,-1.7,-2.15,-1.92,,N
11,10,Davis Pond,Y,2700,,,-1.57,-1.97,-1.77,,N
11,10,Davis Pond,Y,2650,,,-1.57,-1.99,-1.78,,N
11,10,Davis Pond,Y,2600,,,-1.59,-1.93,-1.76,,N
11,10,Davis Pond,Y,2550,,,-1.65,-1.88,-1.76,,N
11,10,Davis Pond,Y,2500,,,-1.71,-1.77,-1.74,,N
11,10,Davis Pond,Y,2450,,,-1.74,-1.74,-1.74,,N
11,10,Davis Pond,Y,2400,,,-1.67,-1.73,-1.7,,N
11,10,Davis Pond,Y,2350,,,-1.59,-1.69,-1.64,,N
11,10,Davis Pond,Y,2300,,,-1.42,-1.59,-1.5,,N
11,10,Davis Pond,Y,2250,,,-1.34,-1.54,-1.44,,N
11,10,Davis Pond,Y,2200,,,-1.26,-1.51,-1.39,,N
11,10,Davis Pond,Y,2150,,,-1.27,-1.55,-1.41,,N
11,10,Davis Pond,Y,2100,,,-1.25,-1.53,-1.39,,N
11,10,Davis Pond,Y,2050,,,-1.23,-1.49,-1.36,,N
11,10,Davis Pond,Y,2000,,,-1.2,-1.46,-1.33,,N
11,10,Davis Pond,Y,1950,,,-1.18,-1.44,-1.31,,N
11,10,Davis Pond,Y,1900,,,-1.1,-1.38,-1.24,,N
11,10,Davis Pond,Y,1850,,,-0.98,-1.36,-1.17,,N
11,10,Davis Pond,Y,1800,,,-0.87,-1.34,-1.1,,N
11,10,Davis Pond,Y,1750,,,-0.87,-1.33,-1.1,,N
11,10,Davis Pond,Y,1700,,,-0.98,-1.3,-1.14,,N
11,10,Davis Pond,Y,1650,,,-0.94,-1.22,-1.08,,N
11,10,Davis Pond,Y,1600,,,-0.87,-1.07,-0.97,,N
11,10,Davis Pond,Y,1550,,,-0.75,-1,-0.87,,N
11,10,Davis Pond,Y,1500,,,-0.8,-1.1,-0.95,,N
11,10,Davis Pond,Y,1450,,,-0.85,-1.27,-1.06,,N
11,10,Davis Pond,Y,1400,,,-0.88,-1.34,-1.11,,N
11,10,Davis Pond,Y,1350,,,-0.93,-1.32,-1.13,,N
11,10,Davis Pond,Y,1300,,,-0.98,-1.28,-1.13,,N
11,10,Davis Pond,Y,1250,,,-0.88,-1.03,-0.95,,N
11,10,Davis Pond,Y,1200,,,-0.69,-0.77,-0.73,,N
11,10,Davis Pond,Y,1150,,,-0.5,-0.59,-0.54,,N
11,10,Davis Pond,Y,1100,,,-0.47,-0.57,-0.52,,N
11,10,Davis Pond,Y,1050,,,-0.46,-0.54,-0.5,,N
11,10,Davis Pond,Y,1000,,,-0.45,-0.52,-0.48,,N
11,10,Davis Pond,Y,950,,,-0.45,-0.5,-0.48,,N
11,10,Davis Pond,Y,900,,,-0.43,-0.48,-0.45,,N
11,10,Davis Pond,Y,850,,,-0.38,-0.43,-0.41,,N
11,10,Davis Pond,Y,800,,,-0.36,-0.4,-0.38,,N
11,10,Davis Pond,Y,750,,,-0.27,-0.33,-0.3,,N
11,10,Davis Pond,Y,700,,,-0.25,-0.28,-0.26,,N
11,10,Davis Pond,Y,650,,,-0.21,-0.25,-0.23,,N
11,10,Davis Pond,Y,600,,,-0.25,-0.29,-0.27,,N
11,10,Davis Pond,Y,550,,,-0.27,-0.3,-0.28,,N
11,10,Davis Pond,Y,500,,,-0.23,-0.28,-0.26,,N
11,10,Davis Pond,Y,450,,,-0.17,-0.24,-0.21,,N
11,10,Davis Pond,Y,400,,,-0.11,-0.22,-0.16,,N
11,10,Davis Pond,Y,350,,,-0.07,-0.19,-0.13,,N
11,10,Davis Pond,Y,300,,,-0.08,-0.17,-0.13,,N
11,10,Davis Pond,Y,250,,,-0.05,-0.16,-0.11,,N
11,10,Davis Pond,Y,200,,,-0.04,-0.15,-0.1,,N
11,10,Davis Pond,Y,150,,,-0.03,-0.15,-0.09,,N
11,10,Davis Pond,Y,100,,,0.02,-0.11,-0.04,,N
11,10,Davis Pond,Y,50,,,0.02,-0.09,-0.03,,N
11,10,Davis Pond,Y,0,,,0.07,-0.07,0,,N
12,11,Deep Pond Falmouth,Y,12000,,,-6.824912641,-9.000742235,-7.912827438,,N
12,11,Deep Pond Falmouth,Y,11950,,,-6.336922181,-9.021227646,-7.679074913,,N
12,11,Deep Pond Falmouth,Y,11900,,,-6.334827649,-9.017413409,-7.676120529,,N
