DB,Site,Name,Preferred,Cal_yr_BP,Age_Old,Age_Yng,Max_Elev,Min_Elev,Midpoint,Relative,Use_Relative
1,1,Adley Lake (Parker's Prairie),Y,12177,12845,11410,-6.95,-7.7,-7.33,2,N
1,1,Adley Lake (Parker's Prairie),Y,11934,12596,11283,-10.5,-7.3,-8.9,1,N
1,1,Adley Lake (Parker's Prairie),Y,10999,11708,10243,-10.4,-7.3,-8.85,1,N
1,1,Adley Lake (Parker's Prairie),Y,10999,11708,10243,0,-6.7,-3.35,2,N
1,1,Adley Lake (Parker's Prairie),Y,9184,9683,8436,0,-6.55,-3.28,2,N
1,1,Adley Lake (Parker's Prairie),Y,9184,9683,8436,-7.05,-9.9,-8.48,1,N
1,1,Adley Lake (Parker's Prairie),Y,8925,9486,8374,-6.9,-9.9,-8.4,1,N
1,1,Adley Lake (Parker's Prairie),Y,7230,7723,6678,-6.6,-9.7,-8.15,1,N
1,1,Adley Lake (Parker's Prairie),Y,7230,7723,6678,0,-5.9,-2.95,2,N
1,1,Adley Lake (Parker's Prairie),Y,4180,4857,3485,0,-5.1,-2.55,2,N
1,1,Adley Lake (Parker's Prairie),Y,-34,-34,-34,0,0,0,3,N
2,2,Almora Lake (Parker's Prairie),Y,13005,13461,12396,0,-0.5,-0.25,,N
2,2,Almora Lake (Parker's Prairie),Y,12252,12895,11204,0,-2.1,-1.05,,N
2,2,Almora Lake (Parker's Prairie),Y,10999,11708,10243,0,-1.9,-0.95,,N
2,2,Almora Lake (Parker's Prairie),Y,10999,11708,10243,-1.9,-3.1,-2.5,,N
2,2,Almora Lake (Parker's Prairie),Y,10195,10742,9506,-1.9,-3.3,-2.6,,N
2,2,Almora Lake (Parker's Prairie),Y,9184,9683,8436,-3,-3.3,-3.15,,N
2,2,Almora Lake (Parker's Prairie),Y,7230,7723,6678,-2.8,-3.3,-3.05,,N
2,2,Almora Lake (Parker's Prairie),Y,7230,7723,6678,-1.3,-2.5,-1.9,,N
2,2,Almora Lake (Parker's Prairie),Y,4496,5283,3733,-0.6,-2,-1.3,,N
2,2,Almora Lake (Parker's Prairie),Y,4180,4857,3485,-0.3,-1.8,-1.05,,N
2,2,Almora Lake (Parker's Prairie),Y,0,0,0,0,0,0,,N
3,3,Birch Lake,Y,15092,15201,14968,-18.5,-18.5,-18.5,1,N
3,3,Birch Lake,Y,15092,15201,14968,-5.71,-18.64,-12.18,2,N
3,3,Birch Lake,Y,14038,14126,13955,0,-5.71,-2.86,5,N
3,3,Birch Lake,Y,13504,13659,13335,-15.89,-15.89,-15.89,3,N
3,3,Birch Lake,Y,12703,12795,12648,0,-5.19,-2.6,6,N
3,3,Birch Lake,Y,11520,11696,11352,-4.8,-14.56,-9.68,4,N
3,3,Birch Lake,Y,9804,9912,9667,0,-4.64,-2.32,7,N
3,3,Birch Lake,Y,0,0,0,0,0,0,8,N
4,4,Bufflehead Pond,Y,13922,14048,13772,-1.26,-7,-1.5,1,N
4,4,Bufflehead Pond,Y,1807,1870,1737,-0.65,-1.26,-0.95,1,N
4,4,Bufflehead Pond,Y,919,961,803,-0.65,-0.81,-0.73,2,N
4,4,Bufflehead Pond,Y,685,690,675,0,-0.65,-0.33,3,N
4,4,Bufflehead Pond,Y,685,690,675,-0.8,-1,-0.9,1,N
4,4,Bufflehead Pond,Y,173,278,-2,-0.45,-0.7,-0.58,1,N
4,4,Bufflehead Pond,Y,167,287,0,-0.45,-0.7,-0.58,1,N
4,4,Bufflehead Pond,Y,134,269,-2,-0.45,-0.7,-0.58,1,N
4,4,Bufflehead Pond,Y,118,266,21,-0.45,-0.7,-0.58,1,N
4,4,Bufflehead Pond,Y,97,251,-4,0,-0.45,-0.23,2,N
4,4,Bufflehead Pond,Y,90,100,80,0,-0.7,-0.35,2,N
4,4,Bufflehead Pond,Y,13,13,13,-1,-1,-1,1,N
4,4,Bufflehead Pond,Y,10,10,10,-1,-1,-1,1,N
4,4,Bufflehead Pond,Y,-14,-13.51,-14.62,0,-0.45,-0.23,2,N
4,4,Bufflehead Pond,Y,-16,-16,-16,0,0,0,3,N
4,4,Bufflehead Pond,Y,-20,-13,-22,0,-0.35,-0.18,3,N
4,4,Bufflehead Pond,Y,-55,-55,-55,0,0,0,3,N
5,5,Carson Sink,Y,15475,15800,15150,1339,1339,1339,,N
5,5,Carson Sink,Y,13750,14250,13500,1180,1180,1180,,N
