DB,Site,Name,Lat,Long,Elevation ,Type,Shoreline_Elevation_Type,Interp,Preferred,Continuous_Discontinuous,Locations_cores,Citation
39,36,Lake O' Pines,46.14,-89.25,520,1,Rel_Mod,1,Y,C,,Ewing (2000)
40,37,Lake of the Woods (Wyoming),43.48,-109.89,2820,1,Rel_Mod,1,Y,C,2,Shuman et al. (2010); Pribyl and Shuman (2014)
41,38,Lake Tahoe,39,-120,1900,1,MASL,1,Y,D,,"Lindstrom (1990), Benson et al (2002)"
42,39,Little Salt Spring,27,-82.17,5,1,Rel_Mod,1,Y,D,,Clausen et al. (1979)
43,40,Little Windy Hill Pond,41.43,-106.34,3000,1,Rel_Mod,1,Y,C,3,Pribyl and Shuman (2014)
44,41,Lofty Lake,54.73333333,-112.4833333,620,1,Rel_Mod,1,Y,C,2,Schweger and Hickman (1989); Lichti-Federovich (1970)
45,42,Makepeace Cedar Swamp,41.93,-70.77,35,1,Rel_Mod,1,Y,C,,Newby et al. (2000); Shuman et al. (2004)
46,43,Mansell Pond,45.04,-68.73,60,1,Rel_Mod,1,Y,C,,Almquist et al. (2001)
47,44,Marcella Lake,60.07,-133.81,730,1,Rel_Mod,1,Y,C,,Anderson et al. (2005)
48,45,Mina Lake,45.89,-95.48,140,1,Rel_Mod,1,Y,C,,Roy et al. (2003)
49,46,Mirror Lake,43.95,-71.7,350,1,Rel_Mod,1,Y,C,,"Davis & Ford (1982); Davis et al., (1984)"
50,47,Mono Lake,38.01,-118.98,1950,1,MASL,1,Y,D,,Stine 1990
51,48,Moody Lake,46.47,-94.24,365,1,Rel_Mod,1,Y,C,,"Roy et al. (2003), Plank and Shuman (unpublished)"
52,49,Newark Valley (Pluvial Lake Newark),39.6,-115.7,1785,1,MASL,1,Y,D,5,Redwine (2003)
53,50,Owasco Lake,42.75,-77.5,350,1,Rel_Mod,1,Y,C,,Dwyer et al. (1996)
54,51,Owens Lake,36.45,-117.97,1085,1,MASL,1,Y,D,,Bacon et al. (2006)
55,52,Panamint Valley,36,-117.2,380,1,MASL,1,Y,D,18,Jayko et al. (2008)
56,53,Pluvial Lake Antelope,39.8,-114.5,2100,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
57,54,Pluvial Lake Buffalo,40.4,-117.4,1400,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
58,55,Pluvial Lake Carpenter,38.5,-114.7,1975,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979); Lillquist (1994)
59,56,Pluvial Lake Cave,38.4,-114.9,1825,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
60,57,Pluvial Lake Clover,40.8,-115,1700,1,MASL,1,Y,D,2,Munroe and Laabs (2013); Reheis (1999); Miflin & Wheat (1979)
61,58,Pluvial Lake Columbus,38,-118,1400,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
62,59,Pluvial Lake Desatoya,39.3,-117.5,1845,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
63,60,Pluvial Lake Dixie,39.8,-117.9,1055,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
64,61,Pluvial Lake Edwards,39.6,-117.7,1565,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
65,62,Pluvial Lake Gale,39.7,-115.2,2000,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
66,63,Pluvial Lake Gilbert,39.9,-116.7,1720,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
67,64,Pluvial Lake Hubbs,39.7,-115.5,1950,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
68,65,Pluvial Lake Labou,39.2,-118.3,1300,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
69,66,Pluvial Lake Maxey,38.9,-114.5,1775,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
70,67,Pluvial Lake Meinzer,41.6,-119.7,1740,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
71,68,Pluvial Lake Railroad,38.4,-115.7,1440,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
72,69,Pluvial Lake Reveille,38,-116.1,1600,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
73,70,Pluvial Lake Rhodes,38.2,-118.1,1830,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
74,71,Pluvial Lake Spring,39.4,-114.5,1730,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
75,72,Pluvial Lake Surprise ,41.4,-119.9,1775,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
76,73,Pluvial Lake Toiyabe,39,-117.1,1660,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
77,74,Pluvial Lake Tonopah,38,-117.6,1540,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
78,75,Pluvial Lake Waring,40.6,-114.6,2225,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
79,76,Pluvial Lake Warner,42.4,-119.7,1815,1,Rel,1,Y,D,1,Reheis (1999); Miflin & Wheat (1979)
80,77,Pyramid Lake,40.06,-119.56,1155,1,MASL,1,Y,D,,Benson et al. (1990); Benson et al. (2002); Briggs et al. (2005); Adams et al. (2009); Broecker et al (2009)
81,78,Rainbow Lake (Beartooths),44.936,-109.5,2960,1,Rel_Mod,1,Y,C,4,Shuman and Serravezza (2016)
82,79,Rice Lake - Middle Basin,44.21,-78.13,185,1,Rel_Mod,1,Y,C,,Yu and McAndrews (1994)
83,80,Rice Lake - West Basin,44.11,-78.3,185,1,Rel_Mod,1,Y,C,,Yu and McAndrews (1994)
84,81,Ruby Lake/Marshes (Lake Franklin),40.12,-115.49,1820,1,MASL,1,Y,,,Thompson et al. (1990; 1992)
85,82,San Agustin Plains,33.82,-108.19,2070,1,MASL,1,Y,D,,Markgraf et al.
86,83,Sevier Lake,39,-113,1500,1,MASL,1,Y,D,,Oviatt (1988)
87,84,Silver Lake (Lake Mohave),35.34,-116.11,275,1,MASL,1,Y,C,14,Wells et al. (2003)
88,85,Summer Lake (Pluvial Lake Chewaucan - Winter Lake SubBasin),42.8,-120.75,1265,1,MASL,1,Y,D,,"Cohen et al (2000); Nigrini et al. (2000); Allison (1982); Freidel (1998, 2001)"
89,86,Tulare Lake,36.05,-119.78,55,1,MASL,1,Y,D,,Negrini et al. (2006)
90,87,Upper Big Creek Lake,40.91,-106.62,2750,1,Rel_Mod,1,Y,C,2,"Shuman, Pribyl, and Buettner (2015)"
91,88,Upper Graven Lake (Parker's Prairie),46.18,-95.31,440,1,Rel_Mod,1,Y,C,,Digerfeldt et al. (1992); Steventon and Kutzbach (1986); Steventon and Kutzbach (1987)
92,89,Walker Lake (Arizona),35.37,-111.75,2500,1,Rel_Mod,1,Y,C,2,Anderson et al. (2000); Adams et al. (1985); Berry et al. (1982); Clough and Elston (1989)
93,90,Walker Lake (Nevada),38.69,-118.7,1200,1,MASL,1,Y,D,,Adams (2007); Benson et al. (1991); Bradbury et al. (1989)
94,91,Williams Lake,46.95,-94.67,420,1,Rel_Mod,1,Y,C,,Locke and Schwalb (1997)
95,92,Windmill Lake,63.65,-148.8,620,1,Rel_Mod,1,Y,C,3,Bigelow (1997)
96,93,Wolsfeld Lake,45,-93.57,310,1,Rel_Mod,1,Y,C,4,Shuman et al. (2009a); Grimm (1984)
97,94,Anderson Pond,36.03,-85.5,310,2,Rel,1,Y,C,,Delcourt (1979)
98,95,Baptiste Lake,54.75,-114.5666667,740,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
99,96,Barchampe Lake,30.37,-83.15,25,2,Rel,1,Y,C,,Grimm (unpub) in NAPD
100,97,Basin Bog (Maine),45.92,-68.89,775,2,Rel,1,Y,C,,Davis and Davis (1980)
101,98,Beaver Lake,42.45,-100.65,910,2,Rel,1,Y,C,,Schmieder et al. (2011; 2013)
102,99,Belmont Bog,42.25,-77.92,560,2,Rel,1,Y,C,,Spear and Miller (1976)
103,100,"Blue Lakes (Pine Forest Range, Nevada)",41.68,-117.82,1300,2,Rel,1,Y,C,1,Shriver and Minckley (2012)
104,101,Buck Lake (Alberta),52,-114.75,1175,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
105,102,Buck Lake (Florida),27.14,-81.19,5,2,Rel,1,Y,C,,Watts (unpub) in NAPD
106,103,Buffalo Lake,53.25,-112.85,770,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
107,104,Cahaba Pond,33.5,-86.53,230,2,Rel,1,Y,C,,Delcourt et al. (1983); Harrison (1988); Webb and Webb (1988)
108,105,Camel Lake,30.27,-85.02,15,2,Rel,1,Y,C,,Watts et al. (1992)
109,106,Chimney Pond,45.91,-68.92,1200,2,Rel,1,Y,C,,Davis and Davis (1980)
110,107,Clear Lake,41.39,-86.31,250,2,Rel,1,Y,C,,Bailey (1972)
111,108,Cooking Lake,53.43333333,-113.0333333,740,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
112,109,Cora Lake (Parker's Prairie),46.17,-95.32,440,2,Rel,1,Y,C,,Steventon&Kutzbach (1986); Digerfeldt et al. (1992)
